n1,n2,loan_id,user,market,collateral_deposited,went_below_sl,went_into_sl,sl_max_depth,went_below_then_above_sl,into_then_above_sl,time_in_sl,time_below_sl,total_loan_time,initial_debt,loan_start_time,loan_start_block,loan_end_time,loan_end_block,should_be_liquidated,end_debt
10,19,8,0x82b43Ee2e45E663Ab5040A464B85C88A88A44a20,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,4.536082691360994,False,True,0.0,False,False,120,0,120,6729.094605363165,1694281859,18100731,1694281979,18100741,False,5029.095836468615
10,19,10,0x82b43Ee2e45E663Ab5040A464B85C88A88A44a20,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,3.383695071628402,False,True,0.0,False,False,72,0,72,5029.096204506315,1694282027,18100745,1694282099,18100751,False,3329.096756556178
10,19,12,0x82b43Ee2e45E663Ab5040A464B85C88A88A44a20,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,2.23989492217427,False,True,0.0,False,False,216,0,216,3329.0973047199955,1694282207,18100759,1694282423,18100777,False,1729.098401033532
0,9,1,0x7b0F06ae753a4557264B503d63BfE935AEd9b07f,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,0.057920482117826126,False,True,0.10378838592623109,False,True,540588,0,1375800,93.94487463546793,1684682651,17308905,1686058451,17422026,False,94.05741347801603
-1,8,3,0x7b0F06ae753a4557264B503d63BfE935AEd9b07f,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,0.34378074835069355,False,True,0.0,False,False,2316,0,2316,563.6657041453534,1686060179,17422167,1686062495,17422358,False,563.6666787060293
4,13,7,0x7b0F06ae753a4557264B503d63BfE935AEd9b07f,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,0.9745004457582137,False,True,0.0,False,False,588,0,588,1513.8776384758896,1686401591,17450190,1686402179,17450239,False,1513.8780837133122
10,19,9,0x7b0F06ae753a4557264B503d63BfE935AEd9b07f,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,1.1373811656372808,False,True,0.0,False,False,408,0,408,1671.8779309707038,1686807623,17483568,1686808031,17483602,False,1671.878513900635
-3,6,11,0x7b0F06ae753a4557264B503d63BfE935AEd9b07f,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,1.2282268809087182,False,True,0.0,False,False,936,0,936,2064.568589853611,1688775815,17645762,1688776751,17645838,False,2064.568969750468
-7,2,13,0x7b0F06ae753a4557264B503d63BfE935AEd9b07f,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,1.4737400558047322,False,True,0.0,False,False,516,0,516,2581.202810905259,1689414779,17698322,1689415295,17698364,False,2581.2068837073048
9,18,14,0x7b0F06ae753a4557264B503d63BfE935AEd9b07f,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,1.740561556307162,False,True,0.625229635987836,False,True,1699212,0,5158716,2581.2068837073048,1689415295,17698364,1694574011,18124864,False,2599.3747973895297
